,id,station_name,province,lon,lat,elev,SL50 (kPa),rlon,rlat
232,5515,HARTINGTON IHD,ON,-76.6903,44.4281,160,2.4,14.354715693013972,-1.1950455367128394
233,5524,KINGSTON A,ON,-76.5967,44.2186,92,2.1,14.473210899310928,-1.3803565049833204
234,5570,OTTAWA CDA,ON,-75.7167,45.3833,79,2.0,14.770203286375427,-0.0926557441963778
235,5595,PETAWAWA A,ON,-77.3167,45.95,130,3.2,13.543748046258958,0.16636607784747412
236,5646,ALLISTON NELSON,ON,-79.8722,44.1514,221,1.8,12.2065379573681,-2.0028898354841
237,5690,COOKSTOWN,ON,-79.6947,44.2067,244,1.6,12.318754222071837,-1.9211289341184725
238,5694,DUNCHURCH,ON,-79.8833,45.6167,268,3.4,11.880619147076752,-0.5742533922365206
239,5735,MUSKOKA A,ON,-79.3,44.9667,282,3.9,12.424309244301325,-1.1177117079756498
240,5759,POWASSAN,ON,-79.25,46.1167,274,3.1,12.200271604969695,0.0108004267438218
241,5761,PRICEVILLE,ON,-80.6378,44.2036,472,2.9,11.658569176059126,-2.068590235243496
242,5773,SHANTY BAY,ON,-79.6328,44.3995,250,3.4,12.319592020167152,-1.7233069520001558
243,5808,WIARTON A,ON,-81.1072,44.7458,222,3.8,11.219407227076683,-1.6065279350677362
244,5880,SARNIA AIRPORT,ON,-82.3047,42.9922,181,1.5,10.7134921602455,-3.4945859613826147
245,5921,DELHI CDA,ON,-80.55,42.8667,232,1.6,11.999925006386508,-3.3628448895127754
246,5996,ST CATHARINES A,ON,-79.1667,43.2,98,0.9,12.915619247015943,-2.817509219258394
247,6006,SIMCOE,ON,-80.2667,42.85,240,1.7,12.206799132067156,-3.335374154899144
248,6032,WATERFORD,ON,-80.2333,42.8833,222,1.2,12.223659162002475,-3.2976268496041468
249,6037,WINDSOR RIVERSIDE,ON,-82.9333,42.3333,188,1.2,10.379271031382924,-4.227125340313413
250,6038,WINDSOR A,ON,-82.9556,42.2756,190,0.9,10.373390404111557,-4.286848910227873
251,6077,DORCHESTER,ON,-81.0328,43.001999999999995,271,1.5,11.625518178228763,-3.3033197995587598
252,6137,MOUNT FOREST,ON,-80.75,43.9833,414,2.1,11.625346633334846,-2.300804570575231
253,6169,WATERLOO WELLINGTON A,ON,-80.3833,43.45,317,1.8,11.996249233882299,-2.767016061611644
254,6192,BELLEVILLE,ON,-77.3947,44.1506,76,1.8,13.936456970299941,-1.5905322191931184
255,6273,HAMILTON A,ON,-79.9342,43.1717,238,1.9,12.37546741076384,-2.9689855230488806
256,6278,HAMILTON RBG,ON,-79.8833,43.2833,102,1.4,12.387474338992014,-2.851997203751697
257,6407,RICHMOND HILL,ON,-79.4478,43.8772,240,1.9,12.564815949223863,-2.2032653790882666
258,6413,SANDHILL,ON,-79.8081,43.8081,270,1.5,12.32637283896129,-2.327916851748337
259,6417,SMITHFIELD CDA,ON,-77.6667,44.0833,119,1.2,13.763648867181702,-1.7037724583668714
260,6436,TORONTO,ON,-79.4,43.6667,112,1.3,12.645432657636889,-2.4007826199030635
261,6479,TORONTO ISLAND A,ON,-79.395,43.6286,76,1.0,12.657472533066505,-2.4371144169958994
262,6520,TRENTON A,ON,-77.5333,44.1167,86,1.4,13.848380542642577,-1.647919910661428
263,6551,TORONTO BUTTONVILLE A,ON,-79.37,43.8622,198,1.5,12.62287891217746,-2.2053809803339703
